TARJETA,30000,"15084,61",,,eze(?),174320,,,,,,,,GASTO DIARIO,,,INTMP,,,,,
ALQUILER EZE,200000,,,,,,,,,,,,,sáb 01/feb 25,"3.000,00",sube,sáb 01/feb 25,,GASTOS,"809.534,68",dolar blue,porHora
auto,,,,,total,174320,-12840,,,,,,,dom 02/feb 25,"17.000,00",domingo,dom 02/feb 25,,PAGOS,"491.327,68",1220,40hsSem
trading,,,,,,,374320,,,,,,,lun 03/feb 25,,,lun 03/feb 25,"21,23",DIARIO,138600,minDolar,7
,,,,,,--->>>,174320,,,INGRESOS,,,mar 04/feb 25,"6.200,00",tabaco,mar 04/feb 25,"16,20",costoVida,"1.439.462,36",1180,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,mié 05/feb 25,,,mié 05/feb 25,"3,37",VERDADERO,GASTOS EXTRAS,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"32.280,63",Resto,,jue 06/feb 25,"3.000,00",sube,jue 06/feb 25,"3,39","1.049.534,68",FECHA,MONTO,CONCEPTO
jue 6 de feb de 25,"14.915,39",mastercard,,,mar 11 de feb de 25,"300.000,00",alquler,,,sáb 1 de feb de 25,"1.007.774,29",sueldo,,vie 07/feb 25,,,vie 07/feb 25,"0,06","317.007,68",,,
jue 6 de feb de 25,"342.508,42",visa,,,mar 11 de feb de 25,"10.620,00",agua,,,,"13.685,61",inversiones,,sáb 08/feb 25,"14.400,00",tabacoBirras,sáb 08/feb 25,,138600,dom 2 de feb de 25,"20.000,00",nafta
sáb 1 de feb de 25,"45.499,39",notebook(3/12),,,mar 11 de feb de 25,"8.700,00",edesur,,,,"457.366,99",sueldoExtra,,dom 09/feb 25,,,dom 09/feb 25,,total,lun 3 de feb de 25,"7.400,00",pollo
sáb 1 de feb de 25,"8.493,12",mallaRelog(1/6),,,mar 11 de feb de 25,"25.000,00",internet,,,TOTAL,"1.511.107,52",,,lun 10/feb 25,"2.000,00",sube,lun 10/feb 25,"98,35",1505142,jue 6 de feb de 25,"6.400,00",avenaPapas
sáb 1 de feb de 25,"8.510,60",cajaMisterio(1/6),,,mar 11 de feb de 25,"30.000,00",gas,,, ,,,,mar 11/feb 25,"14.000,00",peluBirras,mar 11/feb 25,"20,60",sueldoDolar,dom 9 de feb de 25,"15.750,00",polloFrutas
mar 18 de feb de 25,"120.000,00",tattoo,,,jue 6 de feb de 25,"16.145,81",telefono,,,DIARIO,Días restantes,Días totales,,mié 12/feb 25,"6.500,00",mila,mié 12/feb 25,"10,84",1234,mar 11 de feb de 25,"9.350,00",polloPapasPan
vie 14 de feb de 25,"40.060,00",clu,,,lun 3 de feb de 25,"40.500,00",gym,,,4950,1,28,,jue 13/feb 25,"2.000,00",sube,jue 13/feb 25,"3,96",,vie 14 de feb de 25,"10.100,00",14Feb
lun 3 de feb de 25,"49.767,76",viajeMza,,,,"66.000,00",Osde | dientes,,,,,27,,vie 14/feb 25,"13.000,00",milas,vie 14/feb 25,"1,08",sueldoDolar,dom 16 de feb de 25,"6.980,00",aceite
mar 4 de feb de 25,"20.000,00",señaTattoo,,,sáb 1 de feb de 25,"10.026,87",prestamoMeja,53,72,TOTAL,138600,GASTADO,,sáb 15/feb 25,"9.000,00",birras,sáb 15/feb 25,,porHora,lun 17 de feb de 25,"15.700,00",verduPolloPan
,,,,,,"-15.665,00",(?),,,RESTO,100,5130,,dom 16/feb 25,"2.000,00",sube,dom 16/feb 25,,"6,00",mar 18 de feb de 25,"23.300,00",gastosTattoo
,,,,,,,,,,SALDO,100,138500,,lun 17/feb 25,,,lun 17/feb 25,"8,45",mes,vie 21 de feb de 25,"2.500,00",pan
,,,,,,,,,,,,,,mar 18/feb 25,"2.000,00",sube,mar 18/feb 25,"19,02",960,mar 25 de feb de 25,"20.000,00",nafta
,,,,,,,,,,SALDO,,,,mié 19/feb 25,"1.300,00",pila,mié 19/feb 25,"5,83",,mar 25 de feb de 25,"6.000,00",frutasVerdus
,,,,,,,,,,,,,,jue 20/feb 25,"2.000,00",sube,jue 20/feb 25,"0,01",,mié 26 de feb de 25,"6.000,00",desayuno
,,,,,,,,,,TOTAL,"6.065,16","-33934,84",,vie 21/feb 25,,,vie 21/feb 25,"0,01",diferencia,jue 27 de feb de 25,"10.300,00",panBirras
,,,,,,,,,,,"-1001709,12715333",,,sáb 22/feb 25,"22.500,00",subePelu,sáb 22/feb 25,,dolar,,,
,,,,,,,,,,,,,,dom 23/feb 25,,,dom 23/feb 25,,-274,,,
,,,,,mar 11 de feb de 25,"-187.160,00",eze,,,,,,,lun 24/feb 25,,,lun 24/feb 25,"8,41",pesos,,,
,,,,,,,,,,,,,,mar 25/feb 25,"2.000,00",sube,mar 25/feb 25,"4,65",-333942,,,
,"240.000,00",ahorro,,,mar 11 de feb de 25,"12.840,00",retro,,,rendimientosReservas,"13685,61",,,mié 26/feb 25,,,mié 26/feb 25,"20,99",,,,
TOTAL,"1.049.534,68",,,,TOTAL,"317.007,68",,,,,,,,jue 27/feb 25,,,jue 27/feb 25,"20,96",,TOTAL,"159.780,00",
,,,,,,,,,,saldoMercadoPago,"4.339,18",,,vie 28/feb 25,"16.600,00",subeDidiRoti,vie 28/feb 25,"15,40",casa,Estipulado,170000,
,,,,,,,,,,saldoBanco,"1.726,53",,,sáb 01/mar 25,,,sáb 01/mar 25,,-166971,promedioReal,77125,
,,,,,,,,,,efectivo,"0,00",,,dom 02/mar 25,,,dom 02/mar 25,,,promedioCalculado,74595,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"6065,70816999979",,,lun 03/mar 25,,,lun 03/mar 25,,,por semana,82100,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"0,545323328142331",,,,,,TOTAL,"282,81",,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,,TRANSFERENCIAS,,,
,,,,,,,,,,FECHA,MONTO,CONCEPTO,,,,,,,,FECHA,MONTO,CONCEPTO
,,,,,,,,,,seis/seis,"17.264,77",tabacoJulio,,,,,,,,sáb 1 de feb de 25,"1.090.000,00",sueldo
,,,,,,,,,,cinco/seis,"22.466,70",zaps,,,,,,,,sáb 1 de feb de 25,"20.000,00",vueltaCarmen
,,,,,,,,,,cinco/nueve,"18.493,92",pasajes,,,,,,,,lun 3 de feb de 25,"49.767,76",pasajePago
,,,,,,,,,,cinco/seis,"15.583,17",auris,,,,,,,,mar 11 de feb de 25,"200.000,00",cry
,,,,,,,,,,cuatro/seis,"9.867,20",camisa,,,,,,,,mié 19 de feb de 25,"100.000,00",cry
,,,,,,,,,,tres/tres,"24.842,33",suple,,dentista,"66.000,00","1314,01","67314,01",,,jue 27 de feb de 25,"200.000,00",cry
,,,,,,,,,,tres/doce,"4.915,75",bermudaAdidas,,autito,,"2428,33",,,,,,
,,,,,,,,,,dos/tres,"11.666,67",correaje,,emergencia,,"3987,12",,,,,,
,,,,,,,,,,dos/seis,"19.830,00",blancoNegro,,semanaCuatro,,"1343,43",,,,,,
,,,,,,,,,,dos/doce,"1.249,92",mouse,,tattoo,,"1492,44",,,,,,
,,,,,,,,,,disney+,"15.299,00",nivel6,,semanaTres,,"825,57",,,,,,
,,,,,,,,,,uno/doce,"5.425,00",shortsRosario,,clu,,"377,82",,,,,,
,,,,,,,,,,,,,,alquiler,,"1333,15",,,,,,
,,,,,,,,,,,,,,semanaDos,,"225,84",,,,,,
,,,,,,,,,,,,,,telefono,,"41,87",,,,,,
,,,,,,,,,,,,,,gym,,"16,61",,,,,,
,"14.915,39",restoMesAnt,,,,,,,,,"175.604,00",restoMesAnt,,total,66000,"13402,8","67314,01",,,,,
TOTAL,"14.915,39",,,,TOTAL,"0,00",,,,TOTAL,"342.508,42",,,,INV,REND,TOTAL,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Resto,saldoMP,"421,75",,,,,,,,,,,,,,,,,,,"500.000,00",binanceMes
,autito,"256299,39",,,,,,,,,,,,,,,,,,,"619.835,00",binanceTotal
,emergencia,"32519,73",,,,,,,,,,,,,,,,,,,,
,binanceTotal,"119.835,00",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"99,79",,,,,,,,,,,,,,,,,,,,,
,,,,,"1.054,27",,,,,,,,,,,,,,,27/02/25,"509,96",usdt
total hoy,"99,9",,,,"105.321,57",,,,,,,,,,,,,,,,1230,blue
04/02/25,"0,01367712","99,88632288",,,"105.307,15",,,,,,,,,,,,,,,,"627250,8",pesos
03/02/25,"0,01367413","99,87264875",,,"105.292,74",,,,,,,,,,,,,,,,,