TARJETA,20000,-27408,,,03/06/24,30000,,,,,,,,GASTO DIARIO,,,INTMP,,,Estipulado,200000,
,,,,,10/06/24,250000,,,,,,,,sáb 01/jun 24,"3.850,00",pelu,sáb 01/jun 24,,GASTOS,"471.822,85",,
,,,,,total,280000,115000,,,,,,,dom 02/jun 24,"4.000,00",sube,dom 02/jun 24,,PAGOS,"474.415,79",,
,,,,,,,,,,,,,,lun 03/jun 24,"11.400,00",milas,lun 03/jun 24,"48,15",DIARIO,141000,,
,,,,,,,,,,INGRESOS,,,mar 04/jun 24,,,mar 04/jun 24,"409,43",costoVida,"1087238,64",,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,mié 05/jun 24,"7.070,00",cumple,mié 05/jun 24,"7,22",,GASTOS EXTRAS,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"8.778,41",Resto,,jue 06/jun 24,,,jue 06/jun 24,"1,10",,FECHA,MONTO,CONCEPTO
mié 5 de jun de 24,"47.408,00",mastercard,,,lun 10 de jun de 24,"265.000,00",alquler,,,vie 1 de sep de 23,"830.786,39",sueldo,,vie 07/jun 24,"2.000,00",sube,vie 07/jun 24,"2,15",,,,varios
mié 5 de jun de 24,"186.558,19",visa,,,sáb 1 de jun de 24,"10.255,46",prestamo meja,,,,"4.848,03",inversiones,,sáb 08/jun 24,"8.540,00",panLucasOf,sáb 08/jun 24,,,vie 31 de may de 24,"26.430,00",limpPollo
mié 12 de jun de 24,"20.000,00",dentista,,,sáb 1 de jun de 24,"10.583,16",prestamo new,,,vie 31 de may de 24,"40.000,00",adelanto,,dom 09/jun 24,"4.500,00",subeEnc,dom 09/jun 24,,,dom 2 de jun de 24,"3.770,00",aceitePan
vie 31 de may de 24,"15.000,00",autito,,,sáb 1 de jun de 24,"11.452,50",prestamo fibra,,,TOTAL,"884.412,83",,,lun 10/jun 24,,,lun 10/jun 24,"6,35",,dom 2 de jun de 24,"4.900,00",varios
dom 2 de jun de 24,"30.000,00",marimba,,,mié 12 de jun de 24,"65.255,47",osde,,, ,,,,mar 11/jun 24,"5.000,00",futbol,mar 11/jun 24,"2,05",,mar 4 de jun de 24,"17.248,00",super
,,,,,jue 6 de jun de 24,"8.796,32",telefono,,,DIARIO,Días restantes,Días totales,,mié 12/jun 24,,,mié 12/jun 24,"2,06",,mar 4 de jun de 24,"38.560,00",super
,,,,,,,gym,,,4700,2,30,,jue 13/jun 24,,,jue 13/jun 24,"18,27",,jue 6 de jun de 24,"4.374,50",carni
,,,,,sáb 1 de jun de 24,"14.263,44",prestamoBsAS,,,,,28,,vie 14/jun 24,"1.500,00",pan,vie 14/jun 24,"18,27",,lun 10 de jun de 24,"3.200,00",limpi
,,,,,mié 12 de jun de 24,"9.966,93",agua,,,TOTAL,141000,GASTADO,,sáb 15/jun 24,"2.000,00",sube,sáb 15/jun 24,,,mié 12 de jun de 24,"11.810,00",carni
,,,,,,"6.288,71",edesur,,,RESTO,-699,5086,,dom 16/jun 24,,,dom 16/jun 24,,,sáb 15 de jun de 24,"22.400,00",super
,,,,,dom 2 de jun de 24,"21.189,99",internet,,,SALDO,-1397,142397,,lun 17/jun 24,"2.000,00",sube,lun 17/jun 24,,,mar 18 de jun de 24,"5.034,90",carni
,,,,,,"1.500,00",comision(?),,,,,,,mar 18/jun 24,"3.850,00",pelu,mar 18/jun 24,"73,14",,sáb 22 de jun de 24,"5.320,00",verduPan
,,,,,mar 4 de jun de 24,"4.952,00",poliza,,,SALDO,,,,mié 19/jun 24,,,mié 19/jun 24,"5,33",,dom 23 de jun de 24,"9.782,10",pollo
,,,,,dom 2 de jun de 24,"22.097,61",gas,,,,,,,jue 20/jun 24,"2.990,00",coca,jue 20/jun 24,,,lun 24 de jun de 24,"3.490,51",huevosPan
,,,,,lun 10 de jun de 24,"-357,80",ayudaBra,,,TOTAL,"75.777,19","35777,19",,vie 21/jun 24,"2.500,00",tortiDiazJos,vie 21/jun 24,,,mar 25 de jun de 24,"4.244,50",carne
,,,,,mar 25 de jun de 24,"4.952,00",poliza,,,,"-755009,205",,,sáb 22/jun 24,"3.000,00",sube,sáb 22/jun 24,,,vie 28 de jun de 24,"8.060,00",superFiambre
,,,,,,"-96.780,00",resto(?),,,,,,,dom 23/jun 24,,,dom 23/jun 24,,,vie 28 de jun de 24,"4.232,15",carni
,,,,,lun 10 de jun de 24,"-165.000,00",eze,,,,,,,lun 24/jun 24,,,lun 24/jun 24,"26,88",,,,
,,,,,lun 10 de jun de 24,"115.000,00",devoEze,,,,,,,mar 25/jun 24,"4.000,00",sube,mar 25/jun 24,"1,85",,,,
,,,,,lun 10 de jun de 24,"-115.000,00",retro,,,rendimientosReservas,"4848,03","73133,32",,mié 26/jun 24,"2.500,00",tortiDiazJos,mié 26/jun 24,"1,87",,,,
TOTAL,"471.822,85",,,,TOTAL,"194.415,79",,,,,,,,jue 27/jun 24,"4.500,00",fulbito,jue 27/jun 24,"1,88",,TOTAL,"172.856,66",
,,,,,,,,,,saldoMercadoPago,"71.888,73",,,vie 28/jun 24,,,vie 28/jun 24,"0,14",,,,
,,,,,,,,,,saldoBanco,"2.644,16",,,sáb 29/jun 24,,,sáb 29/jun 24,,,,,
,,,,,,,,,,efectivo,"0,00",,,dom 30/jun 24,,,dom 30/jun 24,,total,"313856,66",,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"74532,8900000001",,,lun 01/jul 24,,,lun 01/jul 24,,por semana,"78464,165",,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-1244,29500000032",,,,,,TOTAL,"626,14",,,,
,,,,,dom 9 de jun de 24,"13.477,00",pedidosYa,,,,,,,,,,,,,,,
,,,,,mar 11 de jun de 24,"14.494,00",pedidosYa,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,vencimientos,,,,
dom 28 de abr de 24,"20.000,00",nafta,,,mié 19 de jun de 24,"13.417,00",pedidosYa,,,FECHA,MONTO,CONCEPTO,,agua,,"69,89",,,,,,
mar 7 de may de 24,"27.408,00",farmacia,,,jue 20 de jun de 24,"6.245,00",pedidosYa,,,nueve/doce,"21.958,33",brackets,x,alquiler,,"1378,37",,,,,,
,,,,,vie 21 de jun de 24,"12.019,00",pedidosYa,,,nueve/doce,"1.657,44",jetSmart,x,autito,,"588,06",,,,,,
,,,,,vie 28 de jun de 24,"7.545,00",pedidosYa,,,cinco/seis,"4.524,00",farmacia,x,dentista,,"138,16",,,,,,
,,,,,,,,,,cinco/seis,"2.569,43",espejoMeha,,osde,,"450,82",,,,,,
,,,,,,,,,,dos/seis,"24.998,33",mochi,x,,,,,,,,,
,,,,,,,,,,dos/tres,"13.000,42",chalecoNa,x,semanaTres,,"17,61",,,,,,
,,,,,,,,,,dos/tres,"78.291,35",borcegos,,sem3,"49752,31","922,45","50674,76",,,,,
,,,,,,,,,,jue 25 de abr de 24,"39.599,00",reloj,x,semanaCua,,"656,53",,,,,,
,,,,,,,,,,,"-40,12",(?),,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,varios,,total,"49752,31","4221,89","50674,76",,,,,
TOTAL,"47.408,00",,,,TOTAL,"67.197,00",,,,TOTAL,"186.558,19",,,,INV,REND,TOTAL,,,,,