,,,,,,,,,,,,,,GASTO DIARIO,,,INTMP,
,,,,,,,,,,,,,,vie 01/sep 23,"198,55",sube,vie 01/sep 23,"129,78"
,,,,,,,,,,,,,,sáb 02/sep 23,"1.000,00",tabaco,sáb 02/sep 23,
,,,,,,,,,,,,,,dom 03/sep 23,,,dom 03/sep 23,
,,,,,,,,,,INGRESOS,,,lun 04/sep 23,"642,00",pan,lun 04/sep 23,"365,56",
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,mar 05/sep 23,,,mar 05/sep 23,"100,00",,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"49.165,29",Resto,,mié 06/sep 23,"3.400,00",birrasBeluCañ,mié 06/sep 23,"98,88"
mié 6 de sep de 23,"59.467,33",mastercard,,,vie 8 de sep de 23,"77.620,00",alquler,,,vie 1 de sep de 23,"417.873,23",sueldo,,jue 07/sep 23,"10.610,00",ferreteria,jue 07/sep 23,"3.425,42"
mié 6 de sep de 23,"162.749,58",visa,,,vie 1 de sep de 23,"10.450,87",prestamo meja,,,,"107.972,00",plazoFijo,,vie 08/sep 23,"4.300,00",ferreteria,vie 08/sep 23,"75,81"
mié 6 de sep de 23,"9.320,00",mostazaAero,,,vie 1 de sep de 23,"11.110,04",prestamo new,,,mié 20 de sep de 23,"25.000,00",personal,,sáb 09/sep 23,"5.000,00",asado,sáb 09/sep 23,
jue 7 de sep de 23,"8.500,00",brunchBirr,,,vie 1 de sep de 23,"12.456,36",prestamo fibra,,,TOTAL,"600.010,52",,,dom 10/sep 23,"9.300,00",lomoVarios,dom 10/sep 23,
vie 8 de sep de 23,"7.300,00",birrasPan,,,vie 8 de sep de 23,"17.444,98",osde,,, ,,,,lun 11/sep 23,"6.100,00",lomo,lun 11/sep 23,"187,54"
mar 12 de sep de 23,"70.000,00",fonoVoldi,,,vie 1 de sep de 23,"8.659,85",telefono,,,DIARIO,Días restantes,Días totales,,mar 12/sep 23,"1.000,00",ferreteria,mar 12/sep 23,"75,86"
mié 13 de sep de 23,"20.000,00",paraMeha,,,,,gym,,,2450,26,30,,mié 13/sep 23,,,mié 13/sep 23,"58,90"
jue 14 de sep de 23,"25.000,00",paraMeha,,,vie 1 de sep de 23,"15.621,02",prestamoBsAS,,,,,4,,jue 14/sep 23,"6.600,00",,jue 14/sep 23,"59,05"
jue 14 de sep de 23,"3.000,00",birras,,,vie 8 de sep de 23,"2.006,31",agua,,,TOTAL,73500,GASTADO,,vie 15/sep 23,,,vie 15/sep 23,"17,28"
lun 18 de sep de 23,"4.380,00",varios,,,vie 8 de sep de 23,"11.700,71",gas,,,RESTO,-78,18884,,sáb 16/sep 23,,,sáb 16/sep 23,
mié 20 de sep de 23,"10.761,00",verduCarni,,,vie 1 de sep de 23,"4.649,99",internet,,,SALDO,-53,75537,,dom 17/sep 23,"5.030,00",efectivoVarios,dom 17/sep 23,
sáb 23 de sep de 23,"9.500,00",comidaFran,,,,,,,,,,,,lun 18/sep 23,"6.190,00",panaCarni,lun 18/sep 23,"86,28"
jue 28 de sep de 23,"2.590,00",super,,,mar 5 de sep de 23,"2.970,00",poliza,,,SALDO,,,,mar 19/sep 23,"5.530,00",mac,mar 19/sep 23,"1,39"
mié 27 de sep de 23,"8.460,00",verduCarni,,,vie 1 de sep de 23,"2.551,30",edeSur,,,,,,,mié 20/sep 23,,,mié 20/sep 23,"40,23"
,,,,,,,,,,TOTAL,"3.241,18",,,jue 21/sep 23,,,cierreTarjeta,"41,61"
,,,,,,,,,,,"-414632,05",,,vie 22/sep 23,,,vie 22/sep 23,"63,81"
,,,,,,,,,,,,,,sáb 23/sep 23,"2.500,00",subeTabaco,sáb 23/sep 23,
,,,,,,,,,,,,,,dom 24/sep 23,,,dom 24/sep 23,
,,,,,lun 25 de sep de 23,"-5.000,00",eze,,,,,,,lun 25/sep 23,"1.000,00",futbol,lun 25/sep 23,"191,56"
,,,,,vie 8 de sep de 23,"-50.000,00",eze,,,rendimientoReserva,"4615,29",,,mar 26/sep 23,,,mar 26/sep 23,"1,91"
TOTAL,"401.027,91",,,,TOTAL,"122.241,43",,,,reserva,0,,,mié 27/sep 23,"110,00",verdu,mié 27/sep 23,"1,91"
,,,,,,,,,,saldoMercadoPago,"31,81",,,jue 28/sep 23,"2.808,00",futbolBirras,jue 28/sep 23,"14,27"
,,,,,,,,,,saldoBanco,"96,63",,,vie 29/sep 23,"250,00",sube,vie 29/sep 23,"14,18"
,,,,,,,,,,efectivo,70,,,sáb 30/sep 23,,,sáb 30/sep 23,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"198,440000000024",,,dom 01/oct 23,,,dom 01/oct 23,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-3042,74000000003",,,,,,TOTAL,"5051,23"
seis/doce,"3.541,67",bateriaAuto,,,dom 3 de sep de 23,"1.984,00",pedidosYa,,,,,,,,,,,
cinco/seis,"9.557,33",camisaCorba,,,,,,,,gastosTarjetaVisa,,,,,,,,
tres/seis,"4.509,15",bañoVarios,,,,,,,,FECHA,MONTO,CONCEPTO,,,,,,
tres/seis,"4.454,85",miBand7,,,,,,,,jue 20 de jul de 23,"95.579,07",botines,,,,,,
mié 9 de ago de 23,"33.862,33",mesAnterior,,,,,,,,sáb 22 de jul de 23,"3.940,00",tragosCumple,,,,,,
mié 30 de ago de 23,"3.542,00",intereses,,,,,,,,lun 24 de jul de 23,"4.569,41",pasaje,,,,,,
,,,,,,,,,,jue 7 de abr de 49,"17.996,00",rodilloCalovento,,,,,,
,,,,,,,,,,jue 3 de ago de 23,"11.006,43",impuestosBot,,,,,,
,,,,,,,,,,sáb 5 de ago de 23,"6.969,00",pedidosYa,,,,,,
,,,,,,,,,,mié 9 de ago de 23,"15.323,00",metroGas,,,,,,
,,,,,,,,,,uno/tres,"6.666,67",pantalon,,,,,,
,,,,,,,,,,mié 23 de ago de 23,"700,00",dentista,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
TOTAL,"59.467,33",,,,TOTAL,"1.984,00",,,,TOTAL,"162.749,58",,,,,,,