,,,,,,,,,,,,,,GASTO DIARIO,,,,
,,,,,,,,,,,,,,sáb 01/abr 23,"3.250,00",lomoBirra,,mudanza
,,,,,,,,,,,,,,dom 02/abr 23,"650,00",birra,cobro,480000
,,,,,,,,,,,,,,lun 03/abr 23,"500,00",milas,,
,,,,,,,,,,INGRESOS,,,mar 04/abr 23,"800,00",variosTermin,costoFactura,25000,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,mié 05/abr 23,"1.520,00",cafe,costoMudanza,0,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"12.108,68",Resto,,jue 06/abr 23,"280,00",,,
sáb 1 de abr de 23,"48.070,12",tarjeta,,,,,,,,vie 1 de sep de 23,"325.203,70",sueldo,,vie 07/abr 23,"4.100,00",joda,Pago,265000
sáb 1 de abr de 23,"50.000,00",plazoFijo,,,sáb 1 de abr de 23,"10.537,20",prestamo meja,,,,"21.315,07",plazo fijo,,sáb 08/abr 23,"3.300,00",varios,Sobrante,215000
sáb 1 de abr de 23,"35.000,00",anticipoAlqui,,,sáb 1 de abr de 23,"11.147,46",prestamo new,,,,"625.542,22",pase,,dom 09/abr 23,"200,00",pan,,
lun 3 de abr de 23,"100.000,00",mehaLuces,,,sáb 1 de abr de 23,"12.576,35",prestamo fibra,,,TOTAL,"984.169,67",,,lun 10/abr 23,"1.090,00",pan,,
lun 3 de abr de 23,"265.000,00",mudanzaP1,,,sáb 1 de abr de 23,"15.742,30",osde,,, ,,,,mar 11/abr 23,"0,00",,,
lun 3 de abr de 23,"15.480,00",pasajeCole,,,,,,,,DIARIO,Días restantes,Días totales,,mié 12/abr 23,"3.400,00",milas,,
lun 3 de abr de 23,"1.800,00",varios,,,lun 13 de mar de 23,"1.455,01",telefono,,,1500,3,30,,jue 13/abr 23,"1.550,00",queso tom,,
mié 5 de abr de 23,"7.200,00",remisSube,,,dom 9 de abr de 23,"2.500,00",mercadoPago,,,,,27,,vie 14/abr 23,"15.830,00",joda,,
mié 5 de abr de 23,"35.000,00",alqui2da,,,,,,,,TOTAL,65000,GASTADO,,sáb 15/abr 23,"1.590,00",varios,,
mié 5 de abr de 23,"1.060,00",sube,,,lun 17 de abr de 23,"20.000,00",seña,,,RESTO,-1850,2613,,dom 16/abr 23,"3.700,00",festi,,
jue 6 de abr de 23,"4.300,00",quepiEscudo,,,dom 23 de abr de 23,"2.479,39",internetAbuela,,,SALDO,1720,70549,,lun 17/abr 23,"1.460,00",yerbaSube,,
jue 13 de abr de 23,"2.200,00",sube,,,mar 25 de abr de 23,"14.807,63",osdeMayo,,,,,,,mar 18/abr 23,,,,
lun 17 de abr de 23,"5.041,00",farmacia,,,,,,,,SALDO,,,,mié 19/abr 23,"1.390,00",huevosSube,,
mar 18 de abr de 23,"10.120,00",marimba,,,,,,,,,,,,jue 20/abr 23,"2.600,00",cafeFrutas,cierreTarjeta,
mié 12 de abr de 23,"2.840,00",chino,,,,,,,,TOTAL,"217.019,22",,,vie 21/abr 23,"2.840,00",birraArroz,,
mié 5 de abr de 23,"6.230,00",mcChino,,,,,,,,,"-108184,483333333",,,sáb 22/abr 23,"500,00",mercadoPago,,
jue 6 de abr de 23,"9.200,00",frutaCreaDiet,,,,,,,,,,,,dom 23/abr 23,"210,00",pan,,
jue 6 de abr de 23,"2.620,00",polloPan,,,,,,,,,,,,lun 24/abr 23,,,,
dom 9 de abr de 23,"2.620,00",frutas,,,,,,,,,,,,mar 25/abr 23,"3.400,00",milasVerdu,,
vie 21 de abr de 23,"3.030,00",varios,,,lun 13 de mar de 23,"-1.455,01",telefono,,,,,,,mié 26/abr 23,"3.900,00",peluCanPicaHuevoVar,,
TOTAL,"606.811,12",,,,TOTAL,"89.790,33",,,,,,,,jue 27/abr 23,,,,
,,,,,,,,,,,,,,vie 28/abr 23,"5.220,00",cervezaLomo,,
,,,,,,,,,,SALDO BANCO,"60.915,12",,,sáb 29/abr 23,,,,
,,,,,,,,,,EFECTIVO,163520,,,dom 30/abr 23,,,,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"224435,12",,,lun 01/may 23,,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"7415,90333333344",,,,,,,
nueve/doce,"1.631,16",jetsmart,,,dom 2 de abr de 23,"4.569,00",pedidosYa,,,,,,,,,,,
diez/doce,"970,41",GAFAS,,,jue 6 de abr de 23,"2.700,00",milas,,,,,,,,,,,
seis/seis,"2.586,50",starfeet,,,,,,,,,,,,,,,,
tres/seis,"1.827,35",maflabici,,,,,,,,,,,,,,,,
tres/tres,"3.212,69",masha,,,,,,,,,,,,,,,,
dos/seis,"2.163,33",calzasBIci,,,,,,,,,,,,,,,,
jue 23 de feb de 23,"19.998,00",CeluAbu,,,,,,,,,,,,,,,,
uno/doce,"3.541,67",bateriaAuto,,,,,,,,,,,,,,,,
lun 27 de feb de 23,"2.400,00",telo,,,,,,,,,,,,,,,,
lun 27 de feb de 23,"737,57",cabi,,,,,,,,,,,,,,,,
una/tres,"4.829,84",cintaBici,,,,,,,,,,,,,,,,
vie 3 de feb de 23,"1.263,10",cabi,,,,,,,,,,,,,,,,
una/tres,"2.908,50",CortosNoBra,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,"7.269,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
TOTAL,"48.070,12",,,,,,,,,,,,,,,,,