,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,jue 01/dic 22,"470,00",
,,,,,,,,,,,,,,vie 02/dic 22,"0,00",
,,,,,,,,,,,,,,sáb 03/dic 22,"5.500,00",boliche
,,,,,,,,,,,,,,dom 04/dic 22,"2.221,00",pedidosya
GASTOS,,,,PAGOS,,,,INGRESOS,,,lun 05/dic 22,"1.520,00",tabaco,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,mar 06/dic 22,"500,00",coca
mié 7 de dic de 22,"55.327,12",tarjeta,,,jue 8 de dic de 22,"31.800,00",alquler,,,,"81.534,07",Resto,,mié 07/dic 22,,
jue 1 de dic de 22,,,,,jue 1 de dic de 22,"10.596,88",prestamo meja,,,lun 1 de ago de 22,"176.058,03",sueldo,,jue 08/dic 22,"400,00",birra
,,,,,jue 1 de dic de 22,"11.172,72",prestamo new,,,sáb 17 de dic de 22,"44.166,05",,,vie 09/dic 22,"2.100,00",lomo
lun 19 de dic de 22,"1.890,00",Varios pelo,,,jue 1 de dic de 22,"12.649,07",prestamo fibra,,,TOTAL,"301.758,15",,,sáb 10/dic 22,,
lun 26 de dic de 22,"850,00",aguaPSA,,,lun 28 de nov de 22,"13.406,17",osde,,, ,,,,dom 11/dic 22,"400,00",coca
mar 27 de dic de 22,"3.100,00",tabaco,,,,,bici,,,DIARIO,Días restantes,Días totales,,lun 12/dic 22,"200,00",pan
mié 28 de dic de 22,"8.000,00",semillas,,,,,telefono,,,1000,1,31,,mar 13/dic 22,"570,00",coca
,,,,,lun 5 de dic de 22,"5.000,00",gym,,,,,30,,mié 14/dic 22,,
,,,,,,,,,,TOTAL,31000,GASTADO,,jue 15/dic 22,,
,,,,,,,,,,RESTO,219,1026,,vie 16/dic 22,"200,00",pan
,,,,,sáb 17 de dic de 22,"1.365,93",gas,,,SALDO,5684,30781,,sáb 17/dic 22,,
,"13.976,47",super,T,,lun 5 de dic de 22,"1.058,08",internet,,,,,,,dom 18/dic 22,"6.000,00",asado
lun 5 de dic de 22,"3.420,00","pollo, frutas, sem",,,sáb 17 de dic de 22,"2.657,65",luz,,,SALDO,,,,lun 19/dic 22,,
lun 12 de dic de 22,"3.500,00",frutas. Pollo,,,mié 28 de dic de 22,"13.199,34",OsdeEne,,,,,,,mar 20/dic 22,,
sáb 17 de dic de 22,"1.820,00",limpieza,,,sáb 31 de dic de 22,"-19.830,00",sobrante(?),,,TOTAL,"106.523,51",,,mié 21/dic 22,,
sáb 17 de dic de 22,"2.200,00",pollo papas,,,,,,,,,"24989,4400000005",,,jue 22/dic 22,,
vie 23 de dic de 22,"700,00",papas,,,,,,,,,,,,vie 23/dic 22,,
,,,,,,,,,,,,,,sáb 24/dic 22,,
,,,,,,,,,,,,,,dom 25/dic 22,,
,,,,,lun 28 de nov de 22,"-13.406,17",pagadoNov,,,,,,,lun 26/dic 22,"1.915,38",patamuslos futbol
TOTAL,"94.783,59",,,,TOTAL,"69.669,67",,,,,,,,mar 27/dic 22,"460,00",lillos
,,,,,,,,,,,,,,mié 28/dic 22,,
,,,,,,,,,,SALDO BANCO,"106522,86",,,jue 29/dic 22,"100,00",pan
,,,,,,,,,,EFECTIVO,0,,,vie 30/dic 22,"2.460,00",birras y paps
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"106522,86",,,sáb 31/dic 22,"300,00",pan,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-0,646666666536476",,,,,
siete/nueve,"3.324,00",calefactor,x,,dom 4 de dic de 22,"2.221,00",pedidosya,,,,,,,,,
cinco/doce,"1.631,16",jetsmart,x,,mié 14 de dic de 22,"1.827,00",pedidosya,,,,,,,,,
seis/seis,"985,00",chromecast,x,,jue 22 de dic de 22,"1.417,00",pedidosya,,,,,,,,,
cinco/seis,"1.527,40",boxers,x,,,,,,,,,,,,,
seis/doce,"970,41",GAFAS,x,,,,,,,,,,,,,
seis/seis,"3.747,00",PARLANTE,x,,,,,,,,,,,,,
cuatro/seis,"2.165,00",borregos,x,,,,,,,,,,,,,
tres/seis,"2.341,25",luces,x,,,,,,,,,,,,,
tres/seis,"4.995,00",camisetas,x,,,,,,,,,,,,,
dos/seis,"2.586,50",starfeet,x,,,,,,,,,,,,,
uno/tres,"6.909,73",zapasmias,x,,,,,,,,,,,,,
lun 24 de oct de 22,"1.197,00",pedidosya,x,,,,,,,,,,,,,
dom 23 de oct de 22,"2.279,00",pedidosya,x,,,,,,,,,,,,,
lun 24 de oct de 22,"1.062,57",cabify,x,,,,,,,,,,,,,
uno/tres,"1.870,01",ortopedia,x,,,,,,,,,,,,,
jue 27 de oct de 22,"2.829,00",pedidosya,x,,,,,,,,,,,,,
jue 3 de nov de 22,"1.309,00",pedidosya,x,,,,,,,,,,,,,
dom 6 de nov de 22,"2.379,00",pedidosya,x,,,,,,,,,,,,,
jue 10 de nov de 22,"640,64",cabify,x,,TOTAL,"5.465,00",,,,,,,,,,
sáb 19 de nov de 22,"3.018,00",pedidosya,x,,,,,,,,,,,,,
lun 21 de nov de 22,"4.330,48",super,x,,,,,,,,,,,,,
,"0,64",,,,,,,,,,,,,,,
uno/tres,"3.229,33",mediasChetas,x,,,,,,,,,,,,,
TOTAL,"55.327,12",,,,,,,,,,,,,,,